Year,Inflation Rate (%)
2020,1.23%
2019,1.81%
2018,2.44%
2017,2.13%
2016,1.26%
2015,0.12%
2014,1.62%
2013,1.46%
2012,2.07%
2011,3.16%
2010,1.64%
2009,-0.36%
2008,3.84%
2007,2.85%
2006,3.23%
2005,3.39%
2004,2.68%
2003,2.27%
2002,1.59%
2001,2.83%
2000,3.38%
1999,2.19%
1998,1.55%
1997,2.34%
1996,2.93%
1995,2.81%
1994,2.61%
1993,2.95%
1992,3.03%
1991,4.24%
1990,5.40%
1989,4.83%
1988,4.08%
1987,3.66%
1986,1.90%
1985,3.55%
1984,4.30%
1983,3.21%
1982,6.13%
1981,10.33%
1980,13.55%
1979,11.25%
1978,7.63%
1977,6.50%
1976,5.74%
1975,9.14%
1974,11.05%
1973,6.18%
1972,3.27%
1971,4.29%
1970,5.84%
1969,5.46%
1968,4.27%
1967,2.77%
1966,3.02%
1965,1.59%
1964,1.28%
1963,1.24%
1962,1.20%
1961,1.07%
1960,1.46%
